active_streams,min_team_threads,max_team_threads,stream_bytes,working_set_bytes,passes,median_ms,p10_ms,p90_ms,bandwidth_gbs
1,8,8,4194304,4194304,170,0.90935,0.904458,0.934804,784.111
2,4,4,4194304,8388608,170,2.44193,2.39643,2.51,583.99
3,2,3,4194304,12582912,170,5.36226,5.30655,5.51332,398.917
4,2,2,4194304,16777216,170,10.7054,10.6386,10.9415,266.42
5,1,2,4194304,20971520,170,13.5763,13.4886,13.8154,262.602
6,1,2,4194304,25165824,170,23.759,23.5375,23.954,180.066
7,1,2,4194304,29360128,170,27.3694,27.3142,27.4093,182.365
8,1,1,4194304,33554432,170,28.1692,28.0702,28.3042,202.5
