stage,K,N,M,threads,m_ms,n_ms,winner,n_over_m,m_gflops,n_gflops
w13,4096,1024,1,1,0.182398,0.1888585,m,1.035419796269696,45.99067972236538,44.41742362668347
w13,4096,1024,1,2,0.1994535,0.1022615,n,0.5127084759104252,42.057963384949375,82.03095006429595
w13,4096,1024,1,4,0.1917805,0.07355,n,0.38351135803692243,43.74067227898561,114.0531339225017
w13,4096,1024,1,8,0.20532050000000002,0.049489,n,0.2410329217004634,40.856163899854124,169.50449594859464
w13,4096,1024,2,1,0.187507,0.1834845,n,0.978547467561211,89.47514492792268,91.43669356267151
w13,4096,1024,2,2,0.1926265,0.0977835,n,0.5076326465984691,87.09713357196439,171.57512259225737
w13,4096,1024,2,4,0.2027335,0.0698715,n,0.3446470366269018,82.75502568643071,240.11529736730998
w13,4096,1024,2,8,0.2069225,0.047947000000000004,n,0.23171477243895663,81.07970858654811,349.91169416230423
w13,4096,1024,4,1,0.2401575,0.23734,n,0.9882681157157283,139.71844310504565,141.37706244206623
w13,4096,1024,4,2,0.2464265,0.1518945,n,0.6163886594988769,136.16405703120404,220.90616842611155
w13,4096,1024,4,4,0.2499315,0.0883535,n,0.3535108619761815,134.25451373676387,379.7747910382724
w13,4096,1024,4,8,0.2503885,0.058847,n,0.23502277460825874,134.0094772723188,570.1978350638095
w13,4096,1024,8,1,0.434131,0.44071899999999997,m,1.0151751429867943,154.58205933232134,152.27132027436983
w13,4096,1024,8,2,0.428249,0.223328,n,0.5214910017303017,156.70524391183633,300.4946267373549
w13,4096,1024,8,4,0.4319805,0.1392115,n,0.3222633892039108,155.351604991429,482.0640823495185
w13,4096,1024,8,8,0.443767,0.0891435,n,0.2008790649146962,151.22544939123458,752.8183658931947
w13,4096,1024,16,1,0.8254235000000001,0.82479,n,0.9992325151876581,162.6046847466785,162.72957722571806
w13,4096,1024,16,2,0.4790215,0.43281000000000003,n,0.9035293822928617,280.19144860930044,310.10773318546245
w13,4096,1024,16,4,0.5039545000000001,0.259909,n,0.5157390200901073,266.3290594686623,516.4027717393395
w13,4096,1024,16,8,0.5578065000000001,0.157834,n,0.2829547522303881,240.61700249100713,850.3727207065651
w13,4096,1024,32,1,1.6480215,1.6477575,n,0.9998398079151273,162.88346723631943,162.90956405903174
w13,4096,1024,32,2,1.1176165,0.8499760000000001,n,0.7605256364772711,240.1856593921081,315.8153359624271
w13,4096,1024,32,4,0.553321,0.5091125000000001,n,0.9201033396527515,485.13513132521626,527.261569888777
w13,4096,1024,32,8,0.568264,0.290877,n,0.5118694831979502,472.37807779482773,922.848681745205
w13,4096,1024,48,1,2.4710085,2.4744345,m,1.001386478435829,162.95095059365437,162.7253354251244
w13,4096,1024,48,2,1.4357035,1.2718085000000001,n,0.8858434210127649,280.45706094607976,316.59890934838063
w13,4096,1024,48,4,1.156301,0.748325,n,0.6471714544915208,348.225232011388,538.0726074900612
w13,4096,1024,48,8,0.578705,0.43254899999999996,n,0.747442997727685,695.7831433977587,930.884556431757
w13,4096,1024,64,1,3.2900755,3.2947105,m,1.0014087822604678,163.1789033412759,162.94934319722478
w13,4096,1024,64,2,2.0155275,1.683094,n,0.8350637736274995,266.3674457431119,318.97856685366355
w13,4096,1024,64,4,1.1045905,1.0047125000000001,n,0.9095791607840191,486.0361482377406,534.3527745499334
w13,4096,1024,64,8,0.5947635,0.5702815,n,0.9588374202519152,902.6628432982185,941.4138666605878
w13,4096,1024,128,1,6.590615,6.5837685,n,0.9989611743365376,162.9198222017217,163.0892434932972
w13,4096,1024,128,2,4.116735500000001,3.3533204999999997,n,0.8145581614364098,260.8236123015432,320.2025645923198
w13,4096,1024,128,4,2.3392844999999998,1.990413,n,0.850864014188954,459.00437676563075,539.4567981619895
w13,4096,1024,128,8,1.1977470000000001,1.1337510000000002,n,0.9465696845828042,896.4679719506705,947.0702332346342
w13,4096,1024,256,1,13.178404,13.1946735,m,1.0012345576899904,162.95475901330693,162.75383002087926
w13,4096,1024,256,2,7.4965589999999995,6.7149445,n,0.8957368974218705,286.4625820993339,319.80661165553937
w13,4096,1024,256,4,4.526384999999999,3.9710435,n,0.8773101492692293,474.43680729765595,540.7857274794396
w13,4096,1024,256,8,2.418119,2.2142925,n,0.9157086561910311,888.0802177229491,969.8283528485961
w13,4096,1024,512,1,26.3229225,26.3442825,m,1.0008114600496962,163.16453068613487,163.03223653937056
w13,4096,1024,512,2,15.167302,13.3928435,n,0.8830076370866751,283.17279473963134,320.69121811212085
w13,4096,1024,512,4,8.3026255,7.9198565,n,0.9538978362928691,517.3023034701492,542.3036763355498
w13,4096,1024,512,8,4.750618,4.4154045,n,0.9294379173404387,904.0860149142701,972.7234041637635
w13,4096,1024,1024,1,52.657903000000005,52.667018999999996,m,1.0001731174141133,163.1271680530081,163.0989327875193
w13,4096,1024,1024,2,32.7125675,26.829553500000003,n,0.8201604322253214,262.58821145726336,320.16688581865515
w13,4096,1024,1024,4,16.708815,15.844126,n,0.9482495317591342,514.0959782007282,542.1526306973323
w13,4096,1024,1024,8,9.510258,8.813316499999999,n,0.9267168671975039,903.2283448041052,974.654046748463
w13,4096,1024,2048,1,105.18775,105.17450600000001,n,0.9998740918025152,163.32575973913313,163.34632638065347
w13,4096,1024,2048,2,66.784544,53.580892,n,0.8022947944362696,257.24319064003794,320.6342511804395
w13,4096,1024,2048,4,34.486619,31.683622,n,0.9187221861325403,498.1604367769424,542.231856698707
w13,4096,1024,2048,8,19.133243,17.639779,n,0.921944021721775,897.9068098387712,973.9276883230793
w2,512,4096,1,1,0.08632300000000001,0.08196200000000001,n,0.9494804397437531,48.58848742513582,51.173763451355505
w2,512,4096,1,2,0.101048,0.051676,n,0.511400522523949,41.50803578497348,81.16541527982042
w2,512,4096,1,4,0.106477,0.033419,n,0.3138612094630765,39.39164326568179,125.50656811993177
w2,512,4096,1,8,0.1035875,0.0336075,n,0.3244358634005068,40.49044527573307,124.80261846314067
w2,512,4096,2,1,0.08870449999999999,0.084515,n,0.9527701525852692,94.56800951473714,99.25584807430634
w2,512,4096,2,2,0.0877545,0.0499305,n,0.5689793685793891,95.59177022260967,168.0056879061896
w2,512,4096,2,4,0.0919635,0.0322425,n,0.3506010536789052,91.21671097772486,260.1723811739164
w2,512,4096,2,8,0.1004115,0.033009,n,0.32873724623175626,83.54230342142085,254.13093398770033
w2,512,4096,4,1,0.10423750000000001,0.096081,n,0.9217508094495742,160.9518263580765,174.61533497777916
w2,512,4096,4,2,0.1027965,0.0662115,n,0.6441026688651852,163.2080469665796,253.3882482650295
w2,512,4096,4,4,0.11092,0.0456545,n,0.4115984493328525,151.25510277677606,367.48219781182576
w2,512,4096,4,8,0.115553,0.0367745,n,0.31824790355940563,145.1906571010705,456.2187385280561
w2,512,4096,8,1,0.19975749999999998,0.20072600000000002,m,1.0048483786591245,167.97583069471736,167.1653497802975
w2,512,4096,8,2,0.200673,0.10786950000000001,n,0.5375386823339463,167.209500032391,311.0650554605333
w2,512,4096,8,4,0.205536,0.0644745,n,0.31368957262961233,163.25330842285535,520.429503136899
w2,512,4096,8,8,0.21411,0.048198500000000005,n,0.22511092429125218,156.71585633552846,696.1717065883792
w2,512,4096,16,1,0.3902545,0.3876145,n,0.9932351837070423,171.96179416252727,173.13300715014532
w2,512,4096,16,2,0.213642,0.215136,m,1.0069930069930069,314.1183100701173,311.9369329168526
w2,512,4096,16,4,0.2200915,0.1199645,n,0.545066483712456,304.9134746230545,559.4060242821835
w2,512,4096,16,8,0.2294195,0.0795825,n,0.346886380625884,292.51595439794784,843.2615713253542
w2,512,4096,32,1,0.776511,0.776289,n,0.9997141057885852,172.84716893901052,172.89659907585963
w2,512,4096,32,2,0.431658,0.429172,n,0.9942408110124219,310.9353423311974,312.73645065381714
w2,512,4096,32,4,0.2442315,0.2350535,n,0.9624208998429769,549.5512577206462,571.0092723571443
w2,512,4096,32,8,0.24779,0.140445,n,0.5667904273780217,541.6591791436297,955.6604222293424
w2,512,4096,48,1,1.1755565,1.1671930000000001,n,0.9928854972091943,171.26066845787506,172.4878336316273
w2,512,4096,48,2,0.655344,0.6594525,m,1.0062692265436168,307.2075001831099,305.2935457822967
w2,512,4096,48,4,0.47051,0.3499775,n,0.743825848547321,427.89014473656243,575.2558150166797
w2,512,4096,48,8,0.26555150000000005,0.197183,n,0.74254146559142,758.145188409781,1021.0139413641135
w2,512,4096,64,1,1.576627,1.5669724999999999,n,0.9938764844189525,170.25932956875658,171.3083388508733
w2,512,4096,64,2,0.8818285,0.8687275,n,0.985143369714179,304.407779970822,308.99845578734414
w2,512,4096,64,4,0.479487,0.4569875,n,0.9530758915257348,559.8388611161512,587.4021849612955
w2,512,4096,64,8,0.2657645,0.254361,n,0.9570917108944197,1010.0500856961709,1055.3326020891568
w2,512,4096,128,1,3.1475735,3.137462,n,0.9967875253747054,170.5666005893111,171.11630738475876
w2,512,4096,128,2,1.6983264999999999,1.6751085,n,0.9863288949445234,316.1176087165808,320.49918676909584
w2,512,4096,128,4,0.9573780000000001,0.9108005,n,0.9513488924959629,560.772142246845,589.4495139166041
w2,512,4096,128,8,0.521996,0.49305350000000003,n,0.9445541728289106,1028.4962183618265,1088.8694877939208
w2,512,4096,256,1,6.2888465,6.300997000000001,m,1.001932071326594,170.7374832570647,170.40824237815062
w2,512,4096,256,2,3.381119,3.3322485,n,0.9855460573851438,317.5699595311493,322.22741611257385
w2,512,4096,256,4,1.883923,1.7992105,n,0.955033990242701,569.9499523069679,596.784992084028
w2,512,4096,256,8,1.037964,0.9705105,n,0.9350136420916332,1034.4692340004083,1106.3680650544225
w2,512,4096,512,1,12.621827499999998,12.607997000000001,n,0.9989042395009758,170.14046880295268,170.3271065181884
w2,512,4096,512,2,6.764751,6.66373,n,0.985066560469114,317.45198722022434,322.2645047143267
w2,512,4096,512,4,3.857021,3.6093915,n,0.9357977309431295,556.7726097420782,594.9711046862054
w2,512,4096,512,8,2.0486275000000003,1.9256705,n,0.9399807920180705,1048.2548184089103,1115.1874882021614
w2,512,4096,1024,1,25.207608,25.186613,n,0.9991671165308506,170.38377048706883,170.5257986057911
w2,512,4096,1024,2,13.810411,13.73382,n,0.9944541114670664,310.9948933453175,312.72925493416983
w2,512,4096,1024,4,7.68382,7.191051,n,0.9358692681504772,558.9625077110084,597.2655869079499
w2,512,4096,1024,8,4.075265,3.845026,n,0.9435033059199831,1053.9111679853947,1117.019051626699
w2,512,4096,2048,1,50.249466999999996,50.254234,m,1.0000948666778893,170.94578519608976,170.92956967566155
w2,512,4096,2048,2,27.564781500000002,27.3112055,n,0.9908007251934864,311.6271606216069,314.5205213296059
w2,512,4096,2048,4,15.3369585,14.3453115,n,0.9353426561074675,560.0807090923536,598.7973556377636
w2,512,4096,2048,8,7.993412,7.6184075,n,0.9530858036593134,1074.6267791526323,1127.5236448037206
